plate,n_cols,n_usable,n_frags,n_mask_components,height_cm,width_cm,tilt_vert_mean_deg,tilt_ideal_mean_deg,tilt_baseline_mean_deg,plate_skew_deg,baseline_skew_deg
A,6,5,0,1,29.1,44.5,2.8,1.9,1.6,0.8,1.1
B,4,4,0,1,29.2,34.0,3.1,2.2,1.9,0.9,1.2
C,4,4,0,1,29.9,34.6,4.0,3.7,,0.3,
D,4,4,0,1,30.1,35.0,3.1,3.1,,0.0,
E,4,4,0,1,30.5,34.0,3.0,2.8,,0.2,
F,4,4,0,1,30.4,34.5,2.1,1.9,,0.2,
G1,3,2,0,1,30.4,25.6,2.2,1.6,,0.6,
H,11,11,0,,,,2.3,2.5,,-0.2,
N2,2,2,0,2,31.0,17.2,2.5,3.0,,-0.5,
O,4,4,0,1,31.5,34.1,2.2,1.8,,0.4,
P,4,4,0,1,30.7,33.7,1.6,1.2,,0.4,
Q,4,4,0,1,31.2,34.3,2.2,1.4,,0.8,
R,5,2,0,3,26.8,33.7,0.7,1.4,,-0.7,
S,3,1,0,3,30.6,20.7,0.7,1.1,,-0.4,
T,0,0,4,4,,,,,,,
