plate,column_index,usable,n_lines,tilt_vs_vertical_deg,tilt_vs_ideal_deg,tilt_vs_baseline_deg,height_px,height_cm,width_px,width_cm,area_px,area_cm2,margin_top_px,margin_top_cm,margin_bottom_px,margin_bottom_cm,schriftspiegel_height_ratio,schriftspiegel_area_ratio,intercolumn_px,intercolumn_cm,col2col_width_px,col2col_width_cm,col2col_area_px,col2col_area_cm2
A,1,False,25,,,,2873.5,19.39,295.0,1.99,847872,38.6,423.0,2.85,1012.5,6.83,0.667,0.03,389.8,2.63,684.8,4.62,2026469,92.27
A,2,True,52,2.109,1.267,0.125,3037.0,20.49,790.5,5.33,2403380,109.43,458.5,3.09,813.5,5.49,0.705,0.085,402.8,2.72,1194.0,8.06,3636850,165.59
A,3,True,53,2.459,1.616,1.786,3052.5,20.6,807.5,5.45,2464535,112.21,477.0,3.22,779.5,5.26,0.708,0.087,391.5,2.64,1198.8,8.09,3674488,167.3
A,4,True,52,3.105,2.262,2.052,3073.0,20.74,809.5,5.46,2488798,113.32,469.0,3.16,767.0,5.18,0.713,0.088,387.1,2.61,1196.9,8.08,3673438,167.25
A,5,True,49,2.676,1.834,1.997,3050.5,20.58,813.0,5.49,2481624,112.99,480.0,3.24,778.5,5.25,0.708,0.087,402.7,2.72,1216.4,8.21,3675784,167.36
A,6,True,47,3.374,2.532,1.942,3001.0,20.25,812.5,5.48,2442800,111.22,509.5,3.44,798.5,5.39,0.696,0.086,,,,,,
B,1,True,45,3.073,2.164,2.126,3430.5,20.41,947.5,5.64,3251640,115.07,666.0,3.96,815.5,4.85,0.698,0.116,434.9,2.59,1382.8,8.23,4721517,167.09
B,2,True,46,2.844,1.935,1.541,3390.0,20.17,913.0,5.43,3098094,109.64,696.0,4.14,826.0,4.91,0.69,0.11,430.9,2.56,1344.8,8.0,4568398,161.67
B,3,True,44,3.509,2.6,1.999,3394.0,20.19,940.5,5.59,3195162,113.07,701.0,4.17,817.0,4.86,0.691,0.114,428.8,2.55,1369.7,8.15,4642798,164.3
B,4,True,44,3.025,2.116,1.862,3400.5,20.23,956.0,5.69,3255337,115.2,670.5,3.99,841.0,5.0,0.692,0.116,,,,,,
C,1,True,0,4.21,3.924,,3392.0,20.34,915.5,5.49,3111230,111.83,629.0,3.77,974.0,5.84,0.679,0.108,452.4,2.71,1369.6,8.21,4642148,166.85
C,2,True,0,4.21,3.925,,3400.0,20.38,916.5,5.49,3117968,112.07,632.0,3.79,963.0,5.77,0.681,0.108,444.6,2.67,1361.6,8.16,4648660,167.08
C,3,True,0,4.15,3.864,,3436.0,20.6,912.0,5.47,3131840,112.57,608.0,3.65,951.0,5.7,0.688,0.109,437.4,2.62,1349.0,8.09,4635133,166.6
C,4,True,0,3.41,3.125,,3447.5,20.67,930.0,5.58,3210582,115.4,631.5,3.79,916.0,5.49,0.69,0.111,,,,,,
D,1,True,0,3.111,3.156,,3388.5,20.55,911.5,5.53,3088202,113.57,625.0,3.79,952.5,5.78,0.682,0.108,435.4,2.64,1346.6,8.17,4540378,166.97
D,2,True,0,3.662,3.707,,3357.5,20.36,907.0,5.5,3047865,112.09,631.0,3.83,977.5,5.93,0.676,0.106,441.6,2.68,1349.3,8.18,4520290,166.24
D,3,True,0,3.323,3.368,,3345.0,20.29,939.0,5.69,3142649,115.57,617.5,3.74,1003.5,6.09,0.674,0.11,424.1,2.57,1363.4,8.27,4540294,166.97
D,4,True,0,2.226,2.271,,3328.5,20.18,913.5,5.54,3039501,111.78,615.0,3.73,1022.5,6.2,0.67,0.106,,,,,,
E,1,True,0,3.114,2.911,,3384.0,20.34,917.5,5.51,3107102,112.21,695.5,4.18,991.5,5.96,0.667,0.108,430.3,2.59,1348.5,8.1,4554467,164.49
E,2,True,0,3.106,2.903,,3401.5,20.44,909.5,5.47,3094779,111.77,683.0,4.1,986.5,5.93,0.671,0.108,441.3,2.65,1351.2,8.12,4620406,166.87
E,3,True,0,3.22,3.018,,3441.0,20.68,922.5,5.54,3175607,114.69,667.0,4.01,963.0,5.79,0.679,0.111,441.8,2.66,1364.6,8.2,4693590,169.51
E,4,True,0,2.67,2.467,,3433.0,20.63,909.0,5.46,3122577,112.77,666.0,4.0,972.0,5.84,0.677,0.109,,,,,,
F,1,True,0,2.615,2.376,,3431.5,20.87,907.5,5.52,3115246,115.26,643.5,3.91,927.0,5.64,0.686,0.11,425.9,2.59,1333.8,8.11,4580132,169.46
F,2,True,0,2.221,1.982,,3430.5,20.87,890.0,5.41,3052358,112.94,654.5,3.98,917.0,5.58,0.686,0.107,442.8,2.69,1332.6,8.11,4555440,168.55
F,3,True,0,1.648,1.409,,3416.0,20.78,924.5,5.62,3158824,116.88,671.0,4.08,915.0,5.57,0.683,0.111,410.9,2.5,1335.6,8.12,4551178,168.39
F,4,True,0,1.983,1.745,,3407.5,20.73,897.0,5.46,3057675,113.13,664.5,4.04,930.0,5.66,0.681,0.108,,,,,,
G1,1,False,0,,,,3968.5,20.8,1078.0,5.65,4277732,117.51,794.0,4.16,1047.5,5.49,0.683,0.151,521.0,2.73,1598.9,8.38,6330950,173.91
G1,2,True,0,2.581,1.978,,3953.5,20.72,1089.0,5.71,4305024,118.25,803.5,4.21,1053.0,5.52,0.68,0.152,471.4,2.47,1560.2,8.18,6145756,168.82
G1,3,True,0,1.789,1.185,,3906.0,20.47,1058.0,5.55,4133196,113.53,824.5,4.32,1079.5,5.66,0.672,0.146,,,,,,
H,1,True,0,2.433,2.598,,1458.5,,400.5,,583780,,319.5,,442.0,,0.657,0.041,184.0,,584.9,,666916,
