plate,n_cols,n_usable,n_frags,n_mask_components,height_cm,width_cm,total_lines,avg_lines,min_lines,max_lines,tilt_vert_mean_deg,tilt_ideal_mean_deg,tilt_baseline_mean_deg,plate_skew_deg,baseline_skew_deg,n_columns_with_baseline
A,6,5,0,1,29.08,44.48,278,46.33,25,53,2.745,1.902,1.58,0.842,1.136,5
B,4,4,0,1,29.22,33.98,179,44.75,44,46,3.113,2.204,1.882,0.909,1.241,4
C,4,4,0,1,29.95,34.57,0,,,,3.995,3.709,,0.286,,0
D,4,4,0,1,30.12,34.95,0,,,,3.08,3.125,,-0.045,,0
E,4,4,0,1,30.47,33.97,0,,,,3.027,2.825,,0.203,,0
F,4,4,0,1,30.43,34.53,0,,,,2.117,1.878,,0.238,,0
G1,3,2,0,1,30.45,25.61,0,,,,2.185,1.582,,0.603,,0
H,11,11,0,,,,0,,,,2.335,2.5,,-0.165,,0
N2,2,2,0,2,31.04,17.25,0,,,,2.569,3.034,,-0.464,,0
O,4,4,0,1,31.5,34.11,0,,,,2.187,1.745,,0.442,,0
P,4,4,0,1,30.66,33.74,0,,,,1.602,1.212,,0.39,,0
Q,4,4,0,1,31.18,34.32,0,,,,2.144,1.354,,0.79,,0
R,5,2,0,3,26.83,33.67,0,,,,0.689,1.415,,-0.727,,0
S,3,1,0,3,30.57,20.66,0,,,,0.717,1.074,,-0.357,,0
T,0,0,4,4,,,0,,,,,,,,,0
